fips,county,state,state_code,male,female,median_age,population,female_percentage,lat,long,life_expectancy,mortality_risk,all_poverty,median_hh_income,sq_miles,pct_impoverished,pop_density
17197,Will County,Illinois,IL,341816,346881,37.6,688697,50.36772339650093,41.44504270382514,-87.97864242148339,79.93640142,49.43685988,48627.0,81640.0,836.91,0.07060724818025925,822.9044939121292
18005,Bartholomew County,Indiana,IN,41150,40743,37.7,81893,49.75150501263843,39.20595128349802,-85.89759073009328,77.80224335,55.19638031,9336.0,59765.0,406.91,0.11400241778906622,201.25580595217613
18009,Blackford County,Indiana,IN,6037,6092,44.3,12129,50.226729326407785,40.47363682229351,-85.32482248007156,76.81141714,56.4442576,1530.0,42588.0,165.08,0.126143952510512,73.47346740974072
18029,Dearborn County,Indiana,IN,24764,24737,42.7,49501,49.97272782368032,39.14517193438369,-84.97324273786923,78.36759532,53.86910623,3988.0,63876.0,305.03,0.08056402900951495,162.28239845261123
18033,DeKalb County,Indiana,IN,21307,21397,39.1,42704,50.105376545522674,41.39757021471445,-84.99905942488384,77.82523483,54.65001135,3780.0,52599.0,362.82,0.08851629823904084,117.70023703213715
18037,Dubois County,Indiana,IN,21048,21370,40.4,42418,50.379555848932064,38.36427303649641,-86.87981142676438,78.93023999,51.97497375,2730.0,62852.0,427.27,0.06435947003630534,99.27680389449294
18039,Elkhart County,Indiana,IN,100713,102891,35.5,203604,50.53486179053457,41.59739348654993,-85.85873470418164,78.78482437,50.70568499,26390.0,54582.0,463.17,0.1296143494233905,439.58805622125783
18045,Fountain County,Indiana,IN,8251,8235,43.1,16486,49.95147397792066,40.12089839023189,-87.24197108216225,77.25176466,56.47162312,2145.0,43571.0,395.66,0.1301103967002305,41.66708790375575
18063,Hendricks County,Indiana,IN,80391,80549,37.7,160940,50.049086616130225,39.76951990450325,-86.50997023079225,79.97024886,50.98445896,9008.0,78464.0,406.91,0.055971169379893125,395.51743628812267
18069,Huntington County,Indiana,IN,17875,18503,40.7,36378,50.86315905217439,40.82921962480348,-85.48813053437355,78.17689576,53.57879753,3880.0,50138.0,382.65,0.10665787014129419,95.0686005488044
18075,Jay County,Indiana,IN,10398,10595,40.0,20993,50.46920402038776,40.437957401618746,-85.00570481094736,77.25203154,55.01052691,2878.0,46949.0,383.91,0.13709331681989234,54.68208694746164
18079,Jennings County,Indiana,IN,13925,13802,39.7,27727,49.778194539618426,38.996923297558006,-85.62803435540019,75.52541168,59.57143452,3478.0,50425.0,376.58,0.1254372993832726,73.6284454830315
